City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
359,punta cana,18.5818,-68.4043,26.870000000000005,89,40,0.0,DO,1717125205
360,pacocha,-17.646,-71.3448,17.02000000000004,83,28,1.14,PE,1717125206
361,east stroudsburg,40.9995,-75.1813,14.990000000000009,64,30,3.88,US,1717125207
362,sinop,-11.8642,-55.5025,19.510000000000048,62,0,1.8,BR,1717125209
363,aizkraukle,56.6048,25.2553,14.460000000000036,97,93,2.2,LV,1717125210
364,betare oya,5.6,14.0833,19.57000000000005,96,94,0.63,CM,1717125069
365,utrik,11.2278,169.8474,28.30000000000001,78,100,5.14,MH,1717125212
366,lingyuan,41.24,119.4011,17.640000000000043,42,93,6.29,CN,1717125214
367,santo antonio,1.6394,7.4195,26.99000000000001,82,100,5.81,ST,1717125215
368,sinazongwe,-17.2614,27.4618,16.200000000000045,65,0,0.97,ZM,1717125217
369,ivnya,51.0629,36.1343,16.950000000000045,94,100,2.83,RU,1717125218
370,nizao,18.247,-70.2105,27.939999999999998,83,84,3.39,DO,1717125220
371,swift current,50.2817,-107.8033,8.450000000000045,81,100,13.38,CA,1717124853
372,altay,47.8486,88.1336,18.920000000000016,30,0,2.2,CN,1717125222
373,devarkonda,16.6919,78.9207,36.620000000000005,27,25,6.78,IN,1717125234
374,mil'kovo,54.6961,158.6207,8.410000000000025,60,100,6.51,RU,1717125235
375,newman,-23.3564,119.7355,20.160000000000025,29,0,5.0,AU,1717125236
376,gamba,-2.65,10.0,24.32000000000005,84,98,1.35,GA,1717125238
377,kot addu,30.4691,70.967,37.660000000000025,7,0,4.49,PK,1717125239
378,worbis,51.42,10.3633,12.900000000000034,95,77,2.39,DE,1717125246
379,villamontes,-21.2624,-63.469,13.360000000000014,71,2,1.61,BO,1717125248
380,remire-montjoly,4.9167,-52.2667,25.02000000000004,100,75,1.03,GF,1717125249
381,coahuayana de hidalgo,18.7022,-103.6615,25.04000000000002,79,4,0.45,MX,1717125250
382,vila franca do campo,37.7167,-25.4333,19.230000000000018,99,24,3.26,PT,1717125259
383,motril,36.7507,-3.5179,25.150000000000034,59,0,1.1,ES,1717125260
384,arica,-18.4746,-70.2979,16.650000000000034,77,100,1.03,CL,1717125261
385,fortuna,40.5982,-124.1573,14.400000000000034,73,0,6.17,US,1717125262
386,khash,31.5292,62.7906,28.860000000000014,13,0,9.82,AF,1717125264
387,caleta de carquin,-11.0925,-77.6267,17.600000000000023,86,26,4.34,PE,1717125271
388,dauphin,51.1524,-100.0462,14.080000000000041,62,20,3.09,CA,1717124755
389,taltal,-25.4071,-70.4855,14.170000000000016,77,100,0.95,CL,1717125273
390,sitangkai,4.6612,119.3965,29.74000000000001,74,83,4.42,PH,1717125275
391,sola,-13.8761,167.5517,27.930000000000007,83,100,5.14,VU,1717125276
392,crane,13.1049,-59.4486,28.180000000000007,83,75,6.17,BB,1717125277
393,hammerfest,70.6631,23.6809,12.300000000000011,82,40,0.0,NO,1717125278
394,kristiansund,63.1105,7.728,13.79000000000002,87,100,3.6,NO,1717125280
395,kingaroy,-26.5399,151.8373,20.55000000000001,60,96,4.03,AU,1717125281
396,san antonio de pale,-1.4068,5.6318,26.49000000000001,74,100,5.46,GQ,1717125282
397,evansville,42.7803,-89.2993,16.920000000000016,75,34,3.52,US,1717125283
398,tofol,5.3248,163.0078,30.879999999999995,70,100,2.57,FM,1717125285
399,kayangel,8.0823,134.7173,29.200000000000045,77,71,6.66,PW,1717125286
400,antalaha,-14.9003,50.2788,21.810000000000002,91,15,3.45,MG,1717125288
401,aleksandrov gay,50.147,48.5704,21.83000000000004,45,4,4.72,RU,1717125296
402,san andros,25.0667,-78.05,28.07000000000005,65,0,4.57,BS,1717125297
403,hammamet,35.4486,7.9518,17.57000000000005,36,0,1.54,DZ,1717125298
404,puerto carreno,6.189,-67.4859,23.55000000000001,96,69,2.58,CO,1717125299
405,barbacoas,1.6715,-78.1398,24.939999999999998,96,100,0.26,CO,1717125301
406,ust-nera,64.5697,143.237,18.230000000000018,20,8,4.12,RU,1717125308
407,tongchuan,31.0941,105.0873,26.360000000000014,53,75,2.35,CN,1717125309
408,el jadid,33.2568,-8.5088,18.82000000000005,89,6,3.2,MA,1717125310
409,murzuq,25.9155,13.9184,26.170000000000016,41,0,4.11,LY,1717125311
410,prince rupert,54.3151,-130.321,12.050000000000011,82,100,7.72,CA,1717125313
411,dongola,19.1816,30.4769,29.910000000000025,18,10,5.32,SD,1717125320
412,vingt cinq,-10.388,56.618,28.210000000000036,75,76,7.61,,1717125321
413,palikir - national government center,6.9248,158.1611,28.410000000000025,84,100,1.54,FM,1717125323
414,papao,-17.75,-149.55,28.700000000000045,74,2,1.34,PF,1717125324
415,makurdi,7.7338,8.5214,23.110000000000014,94,72,1.64,NG,1717125325
416,ocean city,38.3365,-75.0849,17.010000000000048,77,100,2.57,US,1717125112
417,nadym,65.5333,72.5167,-0.01999999999998181,86,100,6.75,RU,1717125327
418,warangal,18.0,79.5833,38.5,17,22,6.27,IN,1717125329
419,puerto armuelles,8.2778,-82.8621,25.060000000000002,88,100,1.11,PA,1717125330
420,gaalkacyo,6.7697,47.4308,25.05000000000001,71,100,6.88,SO,1717125331
421,ceeldheer,3.8488,47.1806,25.07000000000005,89,85,6.79,SO,1717125340
